File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\SpriteComponent.cpp,141,91,49,16,21,0,29,144,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\TextComponent.cpp,184,109,55,14,26,0,49,165,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Texture.cpp,54,44,21,6,10,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\TextureCache.cpp,223,153,83,19,40,0,30,127,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\TextureEffect.cpp,500,410,214,68,62,0,28,120,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\UIButton.cpp,522,325,162,52,75,0,122,465,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\UIComponent.cpp,19,14,2,0,5,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\UIDeckGrid.cpp,42,34,8,2,8,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\UIGraphic.cpp,131,66,28,7,21,0,44,153,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\UIMenu.cpp,400,231,123,37,66,0,103,382,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\UIText.cpp,172,76,33,5,25,0,71,233,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\UserInterfaceSystem.cpp,123,72,38,12,16,0,35,137,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Vector2D.cpp,32,22,10,3,10,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\VelocityComponent.cpp,15,8,2,0,7,0,0,0,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Window.cpp,97,77,40,10,19,0,1,2,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\World.cpp,1469,1120,640,186,232,0,117,445,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\Animation.h,37,21,15,0,9,0,7,18,0,0
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests\AnimationChangeMessage.h,28,17,8,0,4,0,7,20,0,0
