Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,139,18532,12413,7062,1605,3229,5,2890,11142,5,17
C:\Users\Obie\Documents\Visual Studio 2017\Projects\Design Tests\Design Tests,139,18532,12413,7062,1605,3229,5,2890,11142,5,17
